stakeholder_type,agent_autonomy,data_provenance,economic_impact,human_oversight,identity_authentication,incident_reporting,international_harmonization,liability,mandatory_vs_voluntary,misuse_abuse,pre_deployment_evaluation,red_teaming,sandboxing_isolation,supply_chain,transparency_documentation
AIFoundationModelLab,33.33333333333333,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
AIStartup,12.903225806451612,1.2096774193548387,0.0,29.435483870967744,15.32258064516129,0.0,0.8064516129032258,0.4032258064516129,0.4032258064516129,3.6290322580645165,8.46774193548387,2.4193548387096775,6.048387096774194,6.451612903225806,12.5
AcademicOrResearchInstitute,26.666666666666668,0.0,0.0,30.0,3.3333333333333335,0.0,0.0,0.0,0.0,6.666666666666667,13.333333333333334,6.666666666666667,6.666666666666667,3.3333333333333335,3.3333333333333335
CivilSocietyNGO,14.925373134328357,1.4925373134328357,0.0,29.850746268656714,8.955223880597014,4.477611940298507,0.0,0.0,5.970149253731343,2.9850746268656714,5.970149253731343,0.0,10.44776119402985,7.462686567164178,7.462686567164178
EnterpriseSoftwareOrSecurityVendor,8.130081300813007,0.0,0.0,32.52032520325203,19.51219512195122,0.8130081300813009,0.0,0.8130081300813009,0.0,4.0650406504065035,7.317073170731707,0.8130081300813009,6.504065040650407,11.38211382113821,8.130081300813007
Individual,17.4055829228243,0.9852216748768473,0.16420361247947454,29.064039408866993,13.30049261083744,1.3136288998357963,0.3284072249589491,1.1494252873563218,0.9852216748768473,3.776683087027915,7.717569786535304,1.477832512315271,5.911330049261084,5.41871921182266,11.001642036124796
LargeTechCompany,20.238095238095237,1.1904761904761905,0.0,30.952380952380953,13.095238095238097,0.0,0.0,0.0,3.571428571428571,2.380952380952381,2.380952380952381,1.1904761904761905,4.761904761904762,13.095238095238097,7.142857142857142
LawFirmOrConsultancy,23.076923076923077,2.564102564102564,0.0,30.76923076923077,17.94871794871795,2.564102564102564,0.0,0.0,0.0,0.0,2.564102564102564,0.0,7.6923076923076925,7.6923076923076925,5.128205128205128
Other,17.012448132780083,1.2448132780082988,0.4149377593360996,28.21576763485477,10.37344398340249,0.0,0.4149377593360996,0.4149377593360996,0.8298755186721992,0.8298755186721992,9.54356846473029,1.6597510373443984,7.468879668049793,6.639004149377594,14.937759336099585
StandardsOrProfessionalBody,25.0,0.0,0.0,33.33333333333333,8.333333333333332,0.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,0.0,0.0,16.666666666666664,0.0
TradeAssociation,8.0,0.0,1.3333333333333335,30.666666666666664,12.0,0.0,2.666666666666667,1.3333333333333335,9.333333333333334,1.3333333333333335,5.333333333333334,2.666666666666667,6.666666666666667,12.0,6.666666666666667
